Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Deptford,Deptford,DEPT,5418,NK15EOJ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5419,NK15EOL,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5420,NK16BYA,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5421,NK16BYB,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5422,NK16BYC,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5423,NK16BYD,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5424,NK16BYF,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5425,NK16BYG,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5426,NK16BYH,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5427,NK16BYJ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5428,NK16BYL,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5429,NK16BYM,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5430,NK16BYN,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
