service_id,date,exception_type
GNE:GOAO888:888:888MF250511:I:1,20251110,1
GNE:GOAO888:888:888MF250511:I:1,20251111,1
GNE:GOAO888:888:888MF250511:I:1,20251112,1
GNE:GOAO888:888:888MF250511:I:1,20251113,1
GNE:GOAO888:888:888MF250511:I:1,20251114,1
GNE:GOAO888:888:888MF250511:I:1,20251117,1
GNE:GOAO888:888:888MF250511:I:1,20251118,1
GNE:GOAO888:888:888MF250511:I:1,20251119,1
GNE:GOAO888:888:888MF250511:I:1,20251120,1
GNE:GOAO888:888:888MF250511:I:1,20251121,1
GNE:GOAO888:888:888MF250511:I:1,20251124,1
GNE:GOAO888:888:888MF250511:I:1,20251125,1
GNE:GOAO888:888:888MF250511:I:1,20251126,1
GNE:GOAO888:888:888MF250511:I:1,20251127,1
GNE:GOAO888:888:888MF250511:I:1,20251128,1
GNE:GOAO888:888:888MF250511:I:1,20251201,1
GNE:GOAO888:888:888MF250511:I:1,20251202,1
GNE:GOAO888:888:888MF250511:I:1,20251203,1
GNE:GOAO888:888:888MF250511:I:1,20251204,1
GNE:GOAO888:888:888MF250511:I:1,20251205,1
GNE:GOAO888:888:888MF250511:I:1,20251208,1
GNE:GOAO888:888:888MF250511:I:1,20251209,1
GNE:GOAO888:888:888MF250511:I:1,20251210,1
GNE:GOAO888:888:888MF250511:I:1,20251211,1
GNE:GOAO888:888:888MF250511:I:1,20251212,1
GNE:GOAO888:888:888MF250511:I:1,20251215,1
GNE:GOAO888:888:888MF250511:I:1,20251216,1
GNE:GOAO888:888:888MF250511:I:1,20251217,1
GNE:GOAO888:888:888MF250511:I:1,20251218,1
GNE:GOAO888:888:888MF250511:I:1,20251219,1
GNE:GOAO888:888:888MF250511:I:1,20250526,2
GNE:GOAO888:888:888MF250511:I:1,20250825,2
GNE:GONO889:889:S89MF250511:O:1,20250512,1
GNE:GONO889:889:S89MF250511:O:1,20250513,1
GNE:GONO889:889:S89MF250511:O:1,20250514,1
GNE:GONO889:889:S89MF250511:O:1,20250515,1
GNE:GONO889:889:S89MF250511:O:1,20250516,1
GNE:GONO889:889:S89MF250511:O:1,20250519,1
GNE:GONO889:889:S89MF250511:O:1,20250520,1
GNE:GONO889:889:S89MF250511:O:1,20250521,1
GNE:GONO889:889:S89MF250511:O:1,20250522,1
GNE:GONO889:889:S89MF250511:O:1,20250523,1
GNE:GONO889:889:S89MF250511:O:1,20250602,1
GNE:GONO889:889:S89MF250511:O:1,20250603,1
GNE:GONO889:889:S89MF250511:O:1,20250604,1
GNE:GONO889:889:S89MF250511:O:1,20250605,1
GNE:GONO889:889:S89MF250511:O:1,20250606,1
GNE:GONO889:889:S89MF250511:O:1,20250609,1
GNE:GONO889:889:S89MF250511:O:1,20250610,1
GNE:GONO889:889:S89MF250511:O:1,20250611,1
GNE:GONO889:889:S89MF250511:O:1,20250612,1
GNE:GONO889:889:S89MF250511:O:1,20250613,1
GNE:GONO889:889:S89MF250511:O:1,20250616,1
GNE:GONO889:889:S89MF250511:O:1,20250617,1
GNE:GONO889:889:S89MF250511:O:1,20250618,1
GNE:GONO889:889:S89MF250511:O:1,20250619,1
GNE:GONO889:889:S89MF250511:O:1,20250620,1
